name,url
DR P1,http://live-icy.gss.dr.dk/A/A03H.mp3
DR P2,http://live-icy.gss.dr.dk/A/A04H.mp3
DR P3,http://live-icy.gss.dr.dk/A/A05H.mp3
DR P4 Bornholm,http://live-icy.gss.dr.dk/A/A06H.mp3
DR P4 Fyn,http://live-icy.gss.dr.dk/A/A07H.mp3
DR P4 København,http://live-icy.gss.dr.dk/A/A08H.mp3
DR P4 Midt & Vest,http://live-icy.gss.dr.dk/A/A09H.mp3
DR P4 Nordjylland,http://live-icy.gss.dr.dk/A/A10H.mp3
DR P4 Sjælland,http://live-icy.gss.dr.dk/A/A11H.mp3
DR P4 Syd,http://live-icy.gss.dr.dk/A/A12H.mp3
DR P4 Trekanten,http://live-icy.gss.dr.dk/A/A13H.mp3
DR P4 Østjyllands Radio,http://live-icy.gss.dr.dk/A/A14H.mp3
DR P4 Esbjerg,http://live-icy.gss.dr.dk/A/A15H.mp3
DR P5,http://live-icy.gss.dr.dk/A/A25H.mp3
DR P6 Beat,http://live-icy.gss.dr.dk/A/A29H.mp3
DR P7 Mix,http://live-icy.gss.dr.dk/A/A21H.mp3
DR P8 Jazz,http://live-icy.gss.dr.dk/A/A22H.mp3
DR Nyheder,http://live-icy.gss.dr.dk/A/A02H.mp3
The Voice,http://stream.voice.dk/voice128
NOVA,http://stream.novafm.dk/nova128
Pop FM,http://stream.popfm.dk/pop128
myROCK,http://stream.myrock.fm/myrock128
Radio 100,http://onair.100fmlive.dk/100fm_live.mp3
Radio Soft,http://onair.100fmlive.dk/soft_live.mp3
Radio Klassisk,http://onair.100fmlive.dk/klassisk_live.mp3
skala.fm (Aabenraa),http://webradio.skala.fm/aabenraa
skala.fm (Billund),http://webradio.skala.fm/billund
skala.fm (Esbjerg),http://webradio.skala.fm/esbjerg
skala.fm (Esbjerg DAB),http://webradio.skala.fm/esbjergdab
skala.fm (Haderslev),http://webradio.skala.fm/haderslev
skala.fm (Holsted),http://webradio.skala.fm/holsted
skala.fm (Kolding),http://webradio.skala.fm/kolding
skala.fm (Middelfart),http://webradio.skala.fm/middelfart
skala.fm (Odense),http://webradio.skala.fm/odense
skala.fm (Odense DAB),http://webradio.skala.fm/odensedab
skala.fm (Østfyn),http://webradio.skala.fm/oestfyn
skala.fm (Ribe),http://webradio.skala.fm/ribe
skala.fm (Ringkøbing),http://webradio.skala.fm/ringkobing
skala.fm (Sønderborg),http://webradio.skala.fm/sonderborg
skala.fm (Sydfyn),http://webradio.skala.fm/sydfyn
skala.fm (Varde),http://webradio.skala.fm/varde
skala.fm (Vestfyn),http://webradio.skala.fm/vestfyn
Classic FM (Als),http://webradio.skala.fm/classicals
Classic FM (Esbjerg),http://webradio.skala.fm/classicesbjerg
Classic FM (Fyn),http://webradio.skala.fm/classicfyn
Classic FM (Fyn DAB),http://webradio.skala.fm/classicfyndab
Classic FM (Horsens),http://webradio.skala.fm/classichorsens
Classic FM (Sønderjylland),http://webradio.skala.fm/classicsdj
Classic FM (Struer),http://webradio.skala.fm/classicstruer
Classic FM (Vejle),http://webradio.skala.fm/classicvejle
Classic FM (Viborg),http://webradio.skala.fm/classicviborg
Classic FM (Viborg DAB),http://webradio.skala.fm/classicviborgdab
Pulz FM,http://webradio.skala.fm/pulz
Radio Viborg,http://webradio.skala.fm/viborg
Radio VLR (Fredericia),http://webradio.skala.fm/vlrfredericia
Radio VLR (Horsens),http://webradio.skala.fm/vlrhorsens
Radio VLR (Kolding),http://webradio.skala.fm/vlrkolding
Radio VLR (Varde),http://webradio.skala.fm/vlrvarde
Radio VLR (Vejle),http://webradio.skala.fm/vlrvejle
Radio24syv,http://streaming.radio24syv.dk/Web
