name,url
DR P1,http://live-icy.gss.dr.dk/A/A03H.mp3
DR P2,http://live-icy.gss.dr.dk/A/A04H.mp3
DR P3,http://live-icy.gss.dr.dk/A/A05H.mp3
DR P4 Bornholm,http://live-icy.gss.dr.dk/A/A06H.mp3
DR P4 Fyn,http://live-icy.gss.dr.dk/A/A07H.mp3
DR P4 København,http://live-icy.gss.dr.dk/A/A08H.mp3
DR P4 Midt & Vest,http://live-icy.gss.dr.dk/A/A09H.mp3
DR P4 Nordjylland,http://live-icy.gss.dr.dk/A/A10H.mp3
DR P4 Sjælland,http://live-icy.gss.dr.dk/A/A11H.mp3
DR P4 Syd,http://live-icy.gss.dr.dk/A/A12H.mp3
DR P4 Trekanten,http://live-icy.gss.dr.dk/A/A13H.mp3
DR P4 Østjyllands Radio,http://live-icy.gss.dr.dk/A/A14H.mp3
DR P4 Esbjerg,http://live-icy.gss.dr.dk/A/A15H.mp3
DR P5,http://live-icy.gss.dr.dk/A/A25H.mp3
DR P6 Beat,http://live-icy.gss.dr.dk/A/A29H.mp3
DR P7 Mix,http://live-icy.gss.dr.dk/A/A21H.mp3
DR P8 Jazz,http://live-icy.gss.dr.dk/A/A22H.mp3
DR Nyheder,http://live-icy.gss.dr.dk/A/A02H.mp3
