name,url
skala.fm (Aabenraa),http://webradio.skala.fm/aabenraa
skala.fm (Billund),http://webradio.skala.fm/billund
skala.fm (Esbjerg),http://webradio.skala.fm/esbjerg
skala.fm (Esbjerg DAB),http://webradio.skala.fm/esbjergdab
skala.fm (Haderslev),http://webradio.skala.fm/haderslev
skala.fm (Holsted),http://webradio.skala.fm/holsted
skala.fm (Kolding),http://webradio.skala.fm/kolding
skala.fm (Middelfart),http://webradio.skala.fm/middelfart
skala.fm (Odense),http://webradio.skala.fm/odense
skala.fm (Odense DAB),http://webradio.skala.fm/odensedab
skala.fm (Østfyn),http://webradio.skala.fm/oestfyn
skala.fm (Ribe),http://webradio.skala.fm/ribe
skala.fm (Ringkøbing),http://webradio.skala.fm/ringkobing
skala.fm (Sønderborg),http://webradio.skala.fm/sonderborg
skala.fm (Sydfyn),http://webradio.skala.fm/sydfyn
skala.fm (Varde),http://webradio.skala.fm/varde
skala.fm (Vestfyn),http://webradio.skala.fm/vestfyn
Classic FM (Als),http://webradio.skala.fm/classicals
Classic FM (Esbjerg),http://webradio.skala.fm/classicesbjerg
Classic FM (Fyn),http://webradio.skala.fm/classicfyn
Classic FM (Fyn DAB),http://webradio.skala.fm/classicfyndab
Classic FM (Horsens),http://webradio.skala.fm/classichorsens
Classic FM (Sønderjylland),http://webradio.skala.fm/classicsdj
Classic FM (Struer),http://webradio.skala.fm/classicstruer
Classic FM (Vejle),http://webradio.skala.fm/classicvejle
Classic FM (Viborg),http://webradio.skala.fm/classicviborg
Classic FM (Viborg DAB),http://webradio.skala.fm/classicviborgdab
Pulz FM,http://webradio.skala.fm/pulz
Radio Viborg,http://webradio.skala.fm/viborg
Radio VLR (Fredericia),http://webradio.skala.fm/vlrfredericia
Radio VLR (Horsens),http://webradio.skala.fm/vlrhorsens
Radio VLR (Kolding),http://webradio.skala.fm/vlrkolding
Radio VLR (Varde),http://webradio.skala.fm/vlrvarde
Radio VLR (Vejle),http://webradio.skala.fm/vlrvejle
